タイムスタンプ,本キャンペーン(毎月28日は35歳未満の方無料)をどこで知りましたか？
2021-11-28 10:57:53,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2021-11-28 10:58:56,公式ホームページ
2021-11-28 10:59:02,公式ホームページ
2021-11-28 11:16:13,公式ホームページ
2021-11-28 11:16:19,公式ホームページ
2021-11-28 11:36:47,公式ホームページ
2021-11-28 11:49:21,他のウェブサイト
2021-11-28 12:04:54,公式ホームページ
2021-11-28 12:11:49,公式ホームページ
2021-11-28 12:59:57,公式ホームページ
2021-11-28 13:00:16,公式ホームページ
2021-11-28 13:00:27,公式ホームページ
2021-11-28 13:05:01,公式ホームページ
2021-11-28 13:05:10,公式Twitter
2021-11-28 13:05:15,公式ホームページ
2021-11-28 13:58:15,公式ホームページ
2021-11-28 13:58:21,公式Instagram
2021-11-28 13:58:25,公式Instagram
2021-11-28 15:49:49,公式ホームページ
2021-11-28 15:55:02,公式ホームページ
2020-12-27 15:14:04,公式ホームページ
2020-12-27 15:14:42,公式ホームページ
2020-12-27 15:15:05,公式ホームページ
2020-12-27 16:26:51,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-12-27 18:06:16,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-12-27 18:24:40,チラシ
2020-12-27 18:24:57,チラシ
2020-12-27 18:51:43,公式ホームページ
2020-12-27 18:55:02,公式ホームページ
2020-12-27 19:31:09,公式ホームページ
2020-12-27 19:31:19,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-12-27 19:31:29,公式ホームページ
2020-12-27 22:09:04,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2020-01-28 9:13:04,知らなかった
2020-01-28 12:39:20,知らなかった
2020-01-28 12:53:08,知らなかった
2020-01-28 13:00:40,知らなかった
2020-01-28 13:16:37,知らなかった
2020-01-28 13:18:21,知らなかった
2020-01-28 13:35:10,知らなかった
2020-01-28 13:59:17,知らなかった
2020-01-28 13:59:23,知らなかった
2020-01-28 14:41:52,知らなかった
2020-01-28 14:53:47,知らなかった
2020-01-28 15:01:00,知らなかった
2020-01-28 15:26:00,知らなかった
2020-01-28 15:37:04,知らなかった
2020-01-28 15:37:08,知らなかった
2020-01-28 15:37:13,知らなかった
2020-01-28 16:16:27,その他
2020-01-28 16:21:17,知らなかった
